project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	152a2105-2b04-408f-aaaa-3f6eaf58f845	TCGA-DJ-A3V8-01A	cc45e816-53fc-4a4d-bda9-f63bd361d876	TCGA-DJ-A3V8-01A-11	'--	'--	139532f5-9d5e-42e0-8b69-dd18e1a0e3c3	'--	DNA	'--	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3V8-01A-11D	'--
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	152a2105-2b04-408f-aaaa-3f6eaf58f845	TCGA-DJ-A3V8-01A	cc45e816-53fc-4a4d-bda9-f63bd361d876	TCGA-DJ-A3V8-01A-11	'--	'--	3a61cc21-386e-4745-9160-03c07588e63e	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3V8-01A-11W	'--
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	152a2105-2b04-408f-aaaa-3f6eaf58f845	TCGA-DJ-A3V8-01A	cc45e816-53fc-4a4d-bda9-f63bd361d876	TCGA-DJ-A3V8-01A-11	1.86	'--	52915347-3df9-49df-bdea-0d0df6288d37	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.3	7.7	UV Spec	released	TCGA-DJ-A3V8-01A-11R	'--
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	719e0f6e-725c-4606-8110-93b7893270e2	TCGA-DJ-A3V8-10A	8365fe27-12b1-4fa8-af82-1e5220bda183	TCGA-DJ-A3V8-10A-01	'--	'--	00749350-54b9-41fd-a8c7-b9b676649675	'--	DNA	'--	'--	0.14	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3V8-10A-01D	'--
TCGA-THCA	a3b49c90-fa9f-4189-a442-64ec1ad97a01	TCGA-DJ-A3V8	719e0f6e-725c-4606-8110-93b7893270e2	TCGA-DJ-A3V8-10A	8365fe27-12b1-4fa8-af82-1e5220bda183	TCGA-DJ-A3V8-10A-01	'--	'--	185d6bd7-a13c-41aa-b079-73f17a6e2522	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3V8-10A-01W	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	60484bea-1021-4cd4-99c2-591abe97c053	TCGA-EL-A3T8-01A-21	2.12	'--	46c873be-4490-4a3b-855e-e076a0e229ea	'--	RNA	'--	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.4	7.3	UV Spec	released	TCGA-EL-A3T8-01A-21R	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	60484bea-1021-4cd4-99c2-591abe97c053	TCGA-EL-A3T8-01A-21	'--	'--	66274f6b-d0ad-41d6-891c-c9f3a1afd94a	'--	DNA	'--	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EL-A3T8-01A-21D	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	6961dfa4-a986-4ed0-96dd-675177a4fee2	TCGA-EL-A3T8-01A	60484bea-1021-4cd4-99c2-591abe97c053	TCGA-EL-A3T8-01A-21	'--	'--	b8c9385d-61ff-4a4b-87d6-864c318c5fac	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EL-A3T8-01A-21W	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	a29ceeca-6198-4d69-afd2-252f76f2a21d	TCGA-EL-A3T8-11A	f4c6bdfc-b70f-42cb-90a2-ef4d201ff8e8	TCGA-EL-A3T8-11A-11	1.93	'--	8a9dd7df-5a44-495a-a271-c99710154c63	'--	RNA	'--	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.2	7.5	UV Spec	released	TCGA-EL-A3T8-11A-11R	'--
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	a29ceeca-6198-4d69-afd2-252f76f2a21d	TCGA-EL-A3T8-11A	f4c6bdfc-b70f-42cb-90a2-ef4d201ff8e8	TCGA-EL-A3T8-11A-11	'--	'--	9091007f-cc01-4f51-9ab2-7966e40b8717	'--	DNA	'--	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EL-A3T8-11A-11D	'--
